ta_r,ta_l,mm_r,mm_l,da_r,da_l
15.67,134.33,54.67,52.33,147.67,132.0
142.17,40.33,182.33,41.67,53.67,38.0
440.33,559.0,479.33,554.0,572.33,556.67
153.83,11.83,51.0,53.33,42.0,26.33
33.0,45.17,227.67,3.67,7.67,83.33
324.5,182.5,0.0,224.0,220.0,993.0
107.17,11.5,68.17,6.5,66.5,839.5
89.67,29.0,50.67,24.0,49.0,26.67
198.83,317.5,237.83,235.5,330.83,315.17
127.17,8.5,88.17,13.5,4.83,10.83
88.17,270.67,412.67,265.67,284.0,268.33
137.33,256.0,176.33,251.0,178.0,595.0
287.83,366.0,326.83,401.5,328.5,444.5
93.0,171.17,132.0,129.67,225.0,639.33
25.0,93.67,235.67,88.67,15.67,91.33
92.67,26.0,53.67,21.0,52.0,825.0
173.5,315.5,276.33,351.0,278.0,353.67
45.5,137.0,57.33,55.0,59.0,134.67
150.83,269.5,189.83,264.5,191.5,581.5
115.67,37.5,76.67,2.0,75.0,848.0
317.33,436.0,578.0,354.0,358.0,433.67
96.33,174.5,357.0,210.0,228.33,212.67
74.67,44.0,186.0,38.0,34.0,41.67
100.67,178.83,139.67,214.33,141.33,631.67
28.67,90.0,232.0,85.0,12.0,761.0
125.33,244.0,386.0,162.0,166.0,241.67
29.92,88.75,230.75,6.75,10.75,762.25
85.33,33.33,46.33,28.33,46.67,817.67
108.67,23.67,118.33,28.67,101.67,874.67
129.17,51.0,131.5,92.5,2.83,861.5
116.67,38.5,144.0,80.0,15.33,0.33
47.17,31.0,8.17,10.5,6.5,779.5
90.83,169.0,351.5,127.5,131.5,641.5
109.0,187.17,148.0,222.67,149.67,225.33
23.67,142.33,62.67,60.33,64.33,140.0
111.67,149.0,72.67,2.0,71.0,4.67
47.42,71.25,213.25,66.25,6.75,68.92
119.87,1.2,80.87,6.2,79.2,852.2
63.33,182.0,324.0,177.0,195.33,669.0
260.67,142.0,0.0,147.0,128.67,144.33
26.33,104.5,287.0,63.0,67.0,142.67
10.33,129.0,49.33,124.0,51.0,126.67
65.0,13.17,195.67,48.67,24.33,797.33
39.67,38.5,0.67,3.0,1.0,76.67
260.67,142.0,221.67,147.0,220.0,144.33
116.33,38.17,77.33,2.67,75.67,848.67
85.17,175.5,46.17,28.5,44.5,31.17
108.33,186.5,369.0,222.0,149.0,224.67
128.33,9.67,132.33,14.67,87.67,860.67
21.92,56.25,238.75,14.75,18.75,94.42
72.67,5.5,188.0,36.0,59.33,805.0
62.67,56.0,198.0,51.0,22.0,795.0
32.5,150.0,70.33,145.0,72.0,147.67
102.33,221.0,363.0,216.0,143.0,630.0
111.33,7.33,72.33,2.33,70.67,843.67
260.67,142.0,221.67,224.0,220.0,993.0
160.33,279.0,199.33,197.0,201.0,572.0
89.33,29.33,171.33,52.67,48.67,821.67
16.33,94.5,277.0,130.0,57.0,716.0
47.67,30.5,8.67,66.0,7.0,68.67
60.33,179.0,99.33,174.0,101.0,672.0
80.0,158.17,340.67,193.67,120.67,652.33
37.67,156.33,76.67,151.33,169.67,694.67
260.67,142.0,221.67,147.0,220.0,993.0
135.17,16.5,96.17,21.5,94.5,867.5
102.92,15.75,63.92,10.75,29.08,13.42
